record_id,observed_date,extracted_at_utc,extracted_at_gt,department,station_id,station_name,institution,source_id,variable,value,unit,aggregation_period,data_type,quality_flag,source_url,credit
2026-09-01_insivumeh_precipitaciones_departamentos_insivumeh_ins071301cv_precipitation_accumulated,2026-09-01,2026-09-01T16:41:44.604386+00:00,2026-09-01T10:41:44.604386-06:00,Sololá,insivumeh_ins071301cv,INS071301CV,INSIVUMEH,insivumeh_precipitaciones_departamentos,precipitation_accumulated,208.5,mm,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-09-01_insivumeh_precipitaciones_departamentos_insivumeh_ins070101cv_precipitation_accumulated,2026-09-01,2026-09-01T16:41:44.604386+00:00,2026-09-01T10:41:44.604386-06:00,Sololá,insivumeh_ins070101cv,INS070101CV,INSIVUMEH,insivumeh_precipitaciones_departamentos,precipitation_accumulated,323.5,mm,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-09-01_insivumeh_precipitaciones_departamentos_insivumeh_ins071901cv_precipitation_accumulated,2026-09-01,2026-09-01T16:41:44.604386+00:00,2026-09-01T10:41:44.604386-06:00,Sololá,insivumeh_ins071901cv,INS071901CV,INSIVUMEH,insivumeh_precipitaciones_departamentos,precipitation_accumulated,297.6,mm,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-09-01_pws_configuradas_vivamos_mejor_pws_complementaria_pws_panajachel_precipitation_accumulated,2026-09-01,2026-09-01T16:41:44.604386+00:00,2026-09-01T10:41:44.604386-06:00,Sololá,vivamos_mejor_pws_complementaria_pws_panajachel,PWS Panajachel,Vivamos Mejor / PWS complementaria,pws_configuradas,precipitation_accumulated,0.0,mm,wunderground_table:2026-09-01_to_2026-09-01,observado_publicado,pws_complementaria_rendered_table,https://www.wunderground.com/dashboard/pws/IPANAJ5/table/2026-09-01/2026-09-01/monthly,Datos: Weather Underground / estación PWS pública. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-09-01_pws_configuradas_pws_complementaria_pws_santa_catarina_palopo_precipitation_accumulated,2026-09-01,2026-09-01T16:41:44.604386+00:00,2026-09-01T10:41:44.604386-06:00,Sololá,pws_complementaria_pws_santa_catarina_palopo,PWS Santa Catarina Palopó,PWS complementaria,pws_configuradas,precipitation_accumulated,0.0,mm,ambientweather_lastData:dailyrainin,observado_publicado,pws_complementaria_ambientweather_api,https://ambientweather.net/dashboard/4bd244f9e8c5b0cb889ba4cbb1a463c3/graphs,Datos: Ambient Weather / estación PWS pública. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
