station_id,station_name,department,institution,precipitation_mm_accumulated,rain_days,dry_days,status,data_type,credit
insivumeh_ins071301cv,INS071301CV,Sololá,INSIVUMEH,214.0,,,extraido,observado_publicado,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
insivumeh_ins070101cv,INS070101CV,Sololá,INSIVUMEH,328.6,,,extraido,observado_publicado,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
insivumeh_ins071901cv,INS071901CV,Sololá,INSIVUMEH,313.1,,,extraido,observado_publicado,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
